"id","name","code","created_at","updated_at","deleted_at"
"42","Hindi","hi","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","Croatian","hr","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","Hungarian","hu","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","Armenian","hy","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","Interlingua","ia","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","Interlingue","ie","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","Inupiak","ik","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","Indonesian","in","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","Icelandic","is","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","Italian","it","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","Hebrew","iw","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","Japanese","ja","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","Yiddish","ji","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","Javanese","jw","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","Georgian","ka","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","Kazakh","kk","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","Greenlandic","kl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","Cambodian","km","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","Kannada","kn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","Korean","ko","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"62","Kashmiri","ks","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","Kurdish","ku","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","Kirghiz","ky","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","Latin","la","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","Lingala","ln","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","Laothian","lo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","Lithuanian","lt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","Latvian/Lettish","lv","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","Malagasy","mg","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","Maori","mi","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","Macedonian","mk","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","Malayalam","ml","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","Mongolian","mn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","Moldavian","mo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","Marathi","mr","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","Malay","ms","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"78","Maltese","mt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"79","Burmese","my","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"80","Nauru","na","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"81","Nepali","ne","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"82","Dutch","nl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"83","Norwegian","no","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"84","Occitan","oc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"85","(Afan)/Oromoor/Oriya","om","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"86","Punjabi","pa","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"87","Polish","pl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"88","Pashto/Pushto","ps","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"89","Portuguese","pt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"90","Quechua","qu","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"91","Rhaeto-Romance","rm","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"92","Kirundi","rn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"93","Romanian","ro","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"94","Russian","ru","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"95","Kinyarwanda","rw","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"96","Sanskrit","sa","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"97","Sindhi","sd","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"98","Sangro","sg","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"99","Serbo-Croatian","sh","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"100","Singhalese","si","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"101","Slovak","sk","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"102","Slovenian","sl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"103","Samoan","sm","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"104","Shona","sn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"105","Somali","so","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"106","Albanian","sq","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"107","Serbian","sr","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"108","Siswati","ss","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"109","Sesotho","st","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"110","Sundanese","su","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"111","Swedish","sv","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"112","Swahili","sw","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"113","Tamil","ta","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"114","Tegulu","te","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"115","Tajik","tg","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"116","Thai","th","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"117","Tigrinya","ti","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"118","Turkmen","tk","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"119","Tagalog","tl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"120","Setswana","tn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"121","Tonga","to","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"122","Turkish","tr","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"123","Tsonga","ts","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"124","Tatar","tt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"125","Twi","tw","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"126","Ukrainian","uk","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"127","Urdu","ur","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"128","Uzbek","uz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"129","Vietnamese","vi","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"130","Volapuk","vo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"131","Wolof","wo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"132","Xhosa","xh","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"133","Yoruba","yo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"134","Chinese","zh","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"135","Zulu","zu","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
